"","id","date","pm25","pm10","o3","no2","so2","co"
"163",tianjin,"2020/1/11",151,36,NA,21,6,8
"164",tianjin,"2020/1/12",79,34,NA,28,4,6
"165",tianjin,"2020/1/13",94,21,NA,16,2,4
"166",tianjin,"2020/1/14",60,35,NA,22,5,8
"167",tianjin,"2020/1/15",83,91,NA,34,6,16
"168",tianjin,"2020/1/16",210,135,NA,44,9,24
"169",tianjin,"2020/1/17",297,127,NA,43,7,24
"170",tianjin,"2020/1/18",299,183,NA,25,4,24
"171",tianjin,"2020/1/19",289,58,NA,21,3,11
"172",tianjin,"2020/1/20",151,24,NA,14,2,6
"173",tianjin,"2020/1/21",64,49,NA,27,9,11
"174",tianjin,"2020/1/22",117,92,NA,37,5,20
"175",tianjin,"2020/1/23",218,79,NA,25,6,15
"176",tianjin,"2020/1/24",216,NA,NA,11,4,6
"177",tianjin,"2020/1/25",133,84,NA,16,5,8
"178",tianjin,"2020/1/26",143,130,NA,20,6,17
"179",tianjin,"2020/1/27",267,109,NA,19,5,17
"180",tianjin,"2020/1/28",276,136,NA,19,8,21
"181",tianjin,"2020/1/29",278,NA,NA,16,5,14
"182",tianjin,"2020/1/30",160,31,NA,15,10,13
"183",tianjin,"2020/1/31",87,69,NA,18,9,13
"184",tianjin,"2020/2/1",164,32,NA,8,2,4
"185",tianjin,"2019/10/2",114,62,NA,12,4,8
"186",tianjin,"2019/10/3",114,76,NA,15,4,9
"187",tianjin,"2019/10/4",140,30,NA,8,3,5
"188",tianjin,"2019/10/5",41,24,NA,13,3,5
"189",tianjin,"2019/10/6",33,37,NA,18,4,6
"190",tianjin,"2019/10/7",80,54,NA,13,3,5
"191",tianjin,"2019/10/8",114,37,NA,19,4,5
"192",tianjin,"2019/10/9",61,58,NA,21,6,11
"193",tianjin,"2019/10/10",109,33,NA,13,2,7
"194",tianjin,"2019/10/11",123,54,NA,18,4,5
"195",tianjin,"2019/10/12",82,49,NA,22,5,5
"196",tianjin,"2019/10/13",53,40,NA,20,4,7
"197",tianjin,"2019/10/14",55,28,NA,15,3,5
"198",tianjin,"2019/10/15",48,50,NA,22,5,7
"199",tianjin,"2019/10/16",109,54,NA,22,6,7
"200",tianjin,"2019/10/17",129,47,NA,21,3,9
"201",tianjin,"2019/10/18",154,NA,NA,27,3,11
"202",tianjin,"2019/10/19",185,92,NA,31,5,14
"203",tianjin,"2019/10/20",203,101,NA,27,4,12
"204",tianjin,"2019/10/21",171,65,NA,24,4,8
"205",tianjin,"2019/10/22",81,65,NA,33,5,12
"206",tianjin,"2019/10/23",114,86,NA,45,5,14
"207",tianjin,"2019/10/24",182,13,NA,25,4,12
"208",tianjin,"2019/10/25",142,19,NA,13,2,7
"209",tianjin,"2019/10/26",31,53,NA,24,5,7
"210",tianjin,"2019/10/27",109,76,NA,34,7,10
"211",tianjin,"2019/10/28",157,105,NA,17,4,6
"212",tianjin,"2019/10/29",110,62,NA,24,5,7
"213",tianjin,"2019/10/30",94,129,NA,38,9,9
"214",tianjin,"2019/10/31",164,83,NA,33,7,10
"215",tianjin,"2019/11/1",128,55,NA,28,5,9
"216",tianjin,"2019/11/2",83,48,NA,31,8,11
"217",tianjin,"2019/11/3",80,60,NA,24,10,10
"218",tianjin,"2019/11/4",107,65,NA,25,7,10
"219",tianjin,"2019/11/5",145,51,NA,25,6,9
"220",tianjin,"2019/11/6",118,48,NA,29,7,8
"221",tianjin,"2019/11/7",100,41,NA,19,6,5
"222",tianjin,"2019/11/8",68,66,NA,29,7,9
"223",tianjin,"2019/11/9",134,100,NA,39,7,17
"224",tianjin,"2019/11/10",222,71,NA,15,3,5
"225",tianjin,"2019/11/11",99,46,NA,26,5,5
"226",tianjin,"2019/11/12",75,72,NA,38,11,11
"227",tianjin,"2019/11/13",131,55,NA,13,3,4
"228",tianjin,"2019/11/14",69,63,NA,31,10,8
"229",tianjin,"2019/11/15",94,61,NA,25,8,12
"230",tianjin,"2019/11/16",105,46,NA,22,6,9
"231",tianjin,"2019/11/17",102,120,NA,22,6,13
"232",tianjin,"2019/11/18",138,70,NA,11,2,6
"233",tianjin,"2019/11/19",68,54,NA,22,3,8
"234",tianjin,"2019/11/20",82,98,NA,40,14,16
"235",tianjin,"2019/11/21",143,108,NA,46,10,18
"236",tianjin,"2019/11/22",179,101,NA,40,7,19
"237",tianjin,"2019/11/23",185,101,NA,39,9,25
"238",tianjin,"2019/11/24",192,32,NA,11,1,6
"239",tianjin,"2019/11/25",70,25,NA,15,3,6
"240",tianjin,"2019/11/26",56,54,NA,28,8,12
"241",tianjin,"2019/11/27",123,50,NA,26,7,12
"242",tianjin,"2019/11/28",90,39,NA,24,6,7
"243",tianjin,"2019/11/29",81,57,NA,31,8,10
"244",tianjin,"2019/11/30",144,68,NA,30,5,8
"245",tianjin,"2019/12/1",166,25,NA,13,2,5
"246",tianjin,"2019/12/2",55,28,NA,16,3,7
"247",tianjin,"2019/12/3",51,59,NA,29,6,12
"248",tianjin,"2019/12/4",125,49,NA,29,5,10
"249",tianjin,"2019/12/5",91,43,NA,19,7,8
"250",tianjin,"2019/12/6",97,46,NA,26,6,7
"251",tianjin,"2019/12/7",112,93,NA,36,4,14
"252",tianjin,"2019/12/8",200,100,NA,28,3,13
"253",tianjin,"2019/12/9",205,124,NA,38,2,20
"254",tianjin,"2019/12/10",231,102,NA,40,2,27
"255",tianjin,"2019/12/11",215,26,NA,17,1,4
"256",tianjin,"2019/12/12",57,29,NA,27,5,10
"257",tianjin,"2019/12/13",65,51,NA,18,7,10
"258",tianjin,"2019/12/14",111,31,NA,20,5,8
"259",tianjin,"2019/12/15",61,48,NA,28,10,9
"260",tianjin,"2019/12/16",116,66,NA,25,4,13
"261",tianjin,"2019/12/17",148,18,NA,9,1,4
"262",tianjin,"2019/12/18",62,24,NA,16,4,7
"263",tianjin,"2019/12/19",64,25,NA,17,3,6
"264",tianjin,"2019/12/20",73,32,NA,27,5,8
"265",tianjin,"2019/12/21",74,66,NA,37,6,17
"266",tianjin,"2019/12/22",152,92,NA,43,7,24
"267",tianjin,"2019/12/23",192,64,NA,30,6,21
"268",tianjin,"2019/12/24",153,47,NA,25,7,14
"269",tianjin,"2019/12/25",127,56,NA,27,4,15
"270",tianjin,"2019/12/26",148,51,NA,26,3,12
"271",tianjin,"2019/12/27",111,72,NA,34,9,12
"272",tianjin,"2019/12/28",151,86,NA,42,7,17
"273",tianjin,"2019/12/29",172,84,NA,37,5,16
"274",tianjin,"2019/12/30",175,NA,NA,NA,NA,NA
"275",tianjin,"2019/7/2",65,51,NA,13,8,8
"276",tianjin,"2019/7/3",83,43,NA,12,5,6
"277",tianjin,"2019/7/4",73,54,NA,14,6,9
"278",tianjin,"2019/7/5",88,62,NA,11,2,7
"279",tianjin,"2019/7/6",111,30,NA,9,2,7
"280",tianjin,"2019/7/7",75,37,NA,9,3,5
"281",tianjin,"2019/7/8",81,52,NA,11,4,7
"282",tianjin,"2019/7/9",119,58,NA,16,4,7
"283",tianjin,"2019/7/10",131,39,NA,10,4,6
"284",tianjin,"2019/7/11",104,31,NA,9,3,4
